market_id,ts,side,token_price,token_id,trade_signal,result_win,queue_ahead,filled,fill_fraction,filled_ts,pnl
btc-updown-5m-1773085200,1773085397,UP,0.02,28170576254425543312985095887389180437271350947090735326083045923607637605630,True,False,207.0,210.68999999999997,0.4213799999999999,1773085479,-4.213799999999999
btc-updown-5m-1773085200,1773085447,UP,0.01,28170576254425543312985095887389180437271350947090735326083045923607637605630,True,False,8040.59,0.0,0.0,,0.0
btc-updown-5m-1773085200,1773085457,UP,0.01,28170576254425543312985095887389180437271350947090735326083045923607637605630,True,False,1694.11,0.0,0.0,,0.0
btc-updown-5m-1773085200,1773085478,UP,0.01,28170576254425543312985095887389180437271350947090735326083045923607637605630,True,False,2088.24,0.0,0.0,,0.0
btc-updown-5m-1773085200,1773085488,UP,0.02,28170576254425543312985095887389180437271350947090735326083045923607637605630,True,False,208.2,0.0,0.0,,0.0
btc-updown-5m-1773086700,1773086991,UP,0.02,21550062357018711181574942091140249345458963579525451321601828741321941916033,True,False,769.67,0.0,0.0,,0.0
btc-updown-5m-1773087300,1773087588,DOWN,0.02,71945442238939650683757977339319394316613796081621437216622363142080756454819,True,False,1002.38,0.0,0.0,,0.0
btc-updown-5m-1773087600,1773087874,UP,0.01,60572261125999649505799197109483383375248815294827715115606797713451281913067,True,False,5932.44,0.0,0.0,,0.0
btc-updown-5m-1773087600,1773087884,UP,0.01,60572261125999649505799197109483383375248815294827715115606797713451281913067,True,False,198.44,0.0,0.0,,0.0
btc-updown-5m-1773088200,1773088453,UP,0.01,15216996308175648407531511883769820420492753580605921602798209513507952168080,True,False,5753.05,0.0,0.0,,0.0
btc-updown-5m-1773090000,1773090247,DOWN,0.01,32682204103741781531685298411593896615798318150092309208283328690661827154441,True,False,8393.15,0.0,0.0,,0.0
btc-updown-5m-1773090300,1773090575,UP,0.02,59010338599140349672768151114470859575728343628317010454415009459879011829279,True,False,2773.96,0.0,0.0,,0.0
btc-updown-5m-1773090300,1773090585,UP,0.01,59010338599140349672768151114470859575728343628317010454415009459879011829279,True,False,6314.01,0.0,0.0,,0.0
btc-updown-5m-1773091800,1773092060,DOWN,0.02,54791853534906537718626630335440475730484870127366911834223253761052869581010,True,False,1789.18,0.0,0.0,,0.0
btc-updown-5m-1773094500,1773094769,UP,0.02,31448198544083938232299995734795027742973518006346379480035884775798972513891,True,False,1064.14,0.0,0.0,,0.0
btc-updown-5m-1773094500,1773094779,UP,0.01,31448198544083938232299995734795027742973518006346379480035884775798972513891,True,False,182.66,0.0,0.0,,0.0
btc-updown-5m-1773094500,1773094789,UP,0.01,31448198544083938232299995734795027742973518006346379480035884775798972513891,True,False,445.43,0.0,0.0,,0.0
btc-updown-5m-1773095100,1773095364,DOWN,0.02,80377345441021994860372054091726288733881334217628236415622953641828886861543,True,False,2739.46,0.0,0.0,,0.0
btc-updown-5m-1773095100,1773095374,DOWN,0.01,80377345441021994860372054091726288733881334217628236415622953641828886861543,True,False,4590.48,0.0,0.0,,0.0
btc-updown-5m-1773096600,1773096838,UP,0.02,48707647020813449805034487262215436381087951443121171464342096312682242294517,True,False,3063.13,0.0,0.0,,0.0
btc-updown-5m-1773096600,1773096848,UP,0.01,48707647020813449805034487262215436381087951443121171464342096312682242294517,True,False,6986.47,0.0,0.0,,0.0
btc-updown-5m-1773096600,1773096858,UP,0.01,48707647020813449805034487262215436381087951443121171464342096312682242294517,True,False,1871.04,0.0,0.0,,0.0
btc-updown-5m-1773097800,1773098082,UP,0.02,36600455801695603620340060562780641388795550546983738343500818785386111466434,True,False,2648.49,0.0,0.0,,0.0
